Book,Author(s),Original language,First published,Approximate sales in millions,Genre
A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,Fantasy
And Then There Were None,Agatha Christie,English,1939,100,Mystery/Thriller
The Hobbit,J. R. R. Tolkien,English,1937,100,Fantasy
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85,Fantasy
She: A History of Adventure,H. Rider Haggard,English,1887,83,Fantasy
The Da Vinci Code,Dan Brown,English,2003,80,Mystery/Thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,Fantasy
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65,Fantasy
The Bridges of Madison County,Robert James Waller,English,1992,60,Romance
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50,Historical fiction
Lolita,Vladimir Nabokov,English,1955,50,Romance
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50,Mystery/Thriller
The Eagle Has Landed,Jack Higgins,English,1975,50,Mystery/Thriller
Watership Down,Richard Adams,English,1972,50,Fantasy
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50,Children's literature
The Ginger Man,J. P. Donleavy,English,1955,50,Romance
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,Children's literature
A Message to Garcia,Elbert Hubbard,English,1899,40,Romance
Flowers in the Attic,V. C. Andrews,English,1979,40,Romance
Cosmos,Carl Sagan,English,1980,40,Science fiction
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40,Fantasy
Angels & Demons,Dan Brown,English,2000,39,Mystery/Thriller
Kane and Abel,Jeffrey Archer,English,1979,37,Romance
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,Fantasy
The Thorn Birds,Colleen McCullough,English,1977,33,Romance
The Purpose Driven Life,Rick Warren,English,2002,33,Romance
Valley of the Dolls,Jacqueline Susann,English,1966,31,Romance
The Great Gatsby,F. Scott Fitzgerald,English,1925,30,Romance
Gone with the Wind,Margaret Mitchell,English,1936,30,Historical fiction
Rebecca,Daphne du Maurier,English,1938,30,Romance
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Romance
The Lost Symbol,Dan Brown,English,2009,30,Mystery/Thriller
The Hunger Games,Suzanne Collins,English,2008,29,Science fiction
James and the Giant Peach,Roald Dahl,English,1961,28,Children's literature
A Brief History of Time,Stephen Hawking,English,1988,25,Science fiction
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Romance
Lust for Life,Irving Stone,English,1934,25,Romance
The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's literature
The Girl on the Train,Paula Hawkins,English,2015,23,Mystery/Thriller
The Shack,William P. Young,English,2007,22.5,Romance
The Godfather,Mario Puzo,English,1969,21,Mystery/Thriller
Love Story,Erich Segal,English,1970,21,Romance
Gone Girl,Gillian Flynn,English,2012,20,Mystery/Thriller
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20,Historical fiction
The Bermuda Triangle,Charles Berlitz,English,1974,20,Mystery/Thriller
Things Fall Apart ,Chinua Achebe,English,1958,20,Romance
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Romance
Jaws,Peter Benchley,English,1974,20,Mystery/Thriller
Love You Forever,Robert Munsch,English,1986,20,Children's literature
The Women's Room,Marilyn French,English,1977,20,Romance
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Romance
Pride and Prejudice,Jane Austen,English,1813,20,Romance
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20,Science fiction
Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's literature
Fear of Flying,Erica Jong,English,1973,20,Romance
Dune,Frank Herbert,English,1965,20,Science fiction
